City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Pangai,TO,-19.8,-174.35,84.2,61,40,2.3,scattered clouds
221,Lorengau,PG,-2.0226,147.2712,80.15,88,100,10.49,overcast clouds
222,Chicama,PE,-7.8447,-79.1469,70.54,85,88,6.46,overcast clouds
223,Ottawa,CA,45.4112,-75.6981,57.99,58,1,11.5,clear sky
224,Fortuna,US,40.5982,-124.1573,50.0,71,1,11.5,clear sky
225,Pevek,RU,69.7008,170.3133,-3.32,84,14,2.06,few clouds
226,Asau,RO,46.4333,26.4,30.2,74,0,3.44,clear sky
227,Coihaique,CL,-45.5752,-72.0662,45.99,95,94,3.24,overcast clouds
228,Uyemskiy,RU,64.4743,40.8524,32.0,100,90,11.18,light rain and snow
229,Zehdenick,DE,52.9785,13.3317,37.0,67,100,1.99,overcast clouds
230,Tuatapere,NZ,-46.1333,167.6833,65.14,47,0,1.61,clear sky
231,Belmonte,BR,-15.8631,-38.8828,78.8,69,20,6.91,few clouds
232,Bubaque,GW,11.2833,-15.8333,77.09,70,3,13.6,clear sky
233,Rajampet,IN,14.1833,79.1667,87.28,32,6,3.65,clear sky
234,Charters Towers,AU,-20.1,146.2667,89.2,30,43,5.53,scattered clouds
235,Fujin,CN,47.26,132.0322,44.53,29,54,5.68,broken clouds
236,Rocha,UY,-34.4833,-54.3333,67.42,93,97,6.98,light rain
237,Padang,ID,-0.9492,100.3543,84.2,74,20,2.3,few clouds
238,Zhireken,RU,52.8249,117.3076,53.87,27,91,6.38,overcast clouds
239,Flinders,AU,-34.5833,150.8552,81.0,68,100,1.01,overcast clouds
240,Constantine,DZ,36.365,6.6147,44.6,70,0,4.61,clear sky
241,Fairburn,US,33.5671,-84.581,70.0,60,20,5.75,few clouds
242,Nabire,ID,-3.3667,135.4833,88.07,58,56,5.19,broken clouds
243,Kaberamaido,UG,1.7389,33.1594,67.21,89,73,3.29,light rain
244,Carmen,MX,18.6333,-91.8333,80.6,83,20,10.36,few clouds
245,Kitimat,CA,54.0524,-128.6534,34.0,94,100,1.01,moderate rain
246,Payo,ID,-3.7508,103.6372,85.55,63,17,4.29,few clouds
247,La Palma,US,33.8464,-118.0467,66.99,77,75,9.22,broken clouds
248,Srednekolymsk,RU,67.45,153.6833,17.64,86,100,5.95,overcast clouds
249,Kalmunai,LK,7.4167,81.8167,81.9,71,3,3.56,clear sky
250,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.21,75,49,7.78,scattered clouds
251,Hasaki,JP,35.7333,140.8333,63.0,31,20,5.75,few clouds
252,Hervey Bay,AU,-25.2986,152.8535,84.2,51,1,8.05,clear sky
253,Wattegama,LK,6.7989,81.4808,78.8,100,3,3.44,clear sky
254,Ligayan,PH,4.6533,119.4706,82.0,71,69,3.83,light rain
255,Ketchikan,US,55.3422,-131.6461,37.4,100,90,26.46,heavy intensity rain
256,Taoudenni,ML,22.6783,-3.9836,79.68,11,1,9.04,clear sky
257,Qaanaaq,GL,77.484,-69.3632,8.98,68,100,5.97,overcast clouds
258,Tomatlan,MX,19.9333,-105.25,67.15,88,7,1.05,clear sky
259,Saldanha,ZA,-33.0117,17.9442,59.0,88,100,5.75,overcast clouds
260,Neepawa,CA,50.2289,-99.4664,46.4,61,75,10.36,broken clouds
261,Peddapalli,IN,18.6167,79.3667,87.62,38,61,11.27,broken clouds
262,Savannakhet,LA,16.566,104.751,86.0,54,40,6.91,scattered clouds
263,Margate,GB,51.3813,1.3862,41.0,77,100,4.0,overcast clouds
264,Muros,ES,42.7762,-9.0603,48.0,92,99,6.35,overcast clouds
265,Mananjary,MG,-21.2167,48.3333,73.4,83,89,6.02,overcast clouds
266,Yakovlevka,RU,44.425,133.4772,42.15,36,100,10.31,overcast clouds
267,Itarema,BR,-2.9248,-39.9167,79.54,81,100,12.24,overcast clouds
268,Pingliang,CN,35.5392,106.6861,50.63,67,100,7.43,moderate rain
269,Namatanai,PG,-3.6667,152.4333,80.02,84,100,12.97,light rain
270,Popondetta,PG,-8.7537,148.2534,89.06,57,93,7.67,overcast clouds
271,Praia,CV,14.9215,-23.5087,71.6,64,0,18.41,clear sky
272,Longyearbyen,SJ,78.2186,15.6401,28.4,69,20,17.27,few clouds
273,Pedernales,DO,18.0384,-71.744,77.68,79,100,6.17,overcast clouds
274,Tasiilaq,GL,65.6145,-37.6368,15.8,67,100,9.22,overcast clouds
