City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Nhulunbuy,AU,87.8,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
195,Dolores,AR,66.04,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
196,Ovalle,CL,65.35,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
197,Cruzilia,BR,54.54,clear sky,-21.8386,-44.8083,Pousada Cruzília
198,Hualmay,PE,69.3,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
199,Tigil,RU,29.89,overcast clouds,57.8,158.6667,Tigil'
200,Noumea,NC,82.4,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
202,Sibolga,ID,84.61,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
203,Port-Gentil,GA,81.39,moderate rain,-0.7193,8.7815,Fengshui Residence
204,Aklera,IN,86.58,clear sky,24.4167,76.5667,hotel sangam palace
206,Crossville,US,66.2,clear sky,35.949,-85.0269,Hampton Inn Crossville
207,Tashigang,BT,71.33,broken clouds,27.3331,91.5542,Lingkhar Lodge
208,Klaksvik,FO,30.2,light snow,62.2266,-6.5889999999999995,Airbnb rooms
209,Madang,PG,86.72,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
210,Misratah,LY,59.05,overcast clouds,32.3754,15.0925,فندق الماسة
211,Mount Gambier,AU,60.8,overcast clouds,-37.8333,140.7667,Commodore on the Park
212,Grindavik,IS,23.0,few clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
213,Los Llanos De Aridane,ES,68.0,clear sky,28.6585,-17.9182,Valle Aridane
215,Voznesenye,RU,25.92,clear sky,61.0106,35.4781,Guesthouse Jakornaya
216,Altay,CN,45.19,clear sky,47.8667,88.1167,Jinqiao Hotel
217,Cherskiy,RU,15.28,overcast clouds,68.75,161.3,Gostinitsa
218,La Asuncion,VE,80.6,broken clouds,11.0333,-63.8628,Colinas de Matasiete
220,Pangai,TO,84.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
221,Lorengau,PG,80.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
222,Chicama,PE,70.54,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
223,Ottawa,CA,57.99,clear sky,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
224,Fortuna,US,50.0,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
226,Asau,RO,30.2,clear sky,46.4333,26.4,Casa Mika Ciobanus
227,Coihaique,CL,45.99,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
228,Uyemskiy,RU,32.0,light rain and snow,64.4743,40.8524,Turkompleks Malyye Karely
229,Zehdenick,DE,37.0,overcast clouds,52.9785,13.3317,Grundmann Pension Lindenhof
230,Tuatapere,NZ,65.14,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
231,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
232,Bubaque,GW,77.09,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
233,Rajampet,IN,87.28,clear sky,14.1833,79.1667,Maruthi Prasanna
234,Charters Towers,AU,89.2,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
235,Fujin,CN,44.53,broken clouds,47.26,132.0322,Xilong Hotel Fujin Shop
236,Rocha,UY,67.42,light rain,-34.4833,-54.3333,Beleza Pura B&B
237,Padang,ID,84.2,few clouds,-0.9492,100.3543,Mercure Padang
239,Flinders,AU,81.0,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
240,Constantine,DZ,44.6,clear sky,36.365,6.6147,Grand Hotel Cirta
241,Fairburn,US,70.0,few clouds,33.5671,-84.581,Wingate by Wyndham Atlanta Airport Fairburn
242,Nabire,ID,88.07,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
243,Kaberamaido,UG,67.21,light rain,1.7389,33.1594,"Little Orchard, Kaberamaido"
244,Carmen,MX,80.6,few clouds,18.6333,-91.8333,Hotel Lossandes
245,Kitimat,CA,34.0,moderate rain,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
246,Payo,ID,85.55,few clouds,-3.7508,103.6372,Mess keban agung
247,La Palma,US,66.99,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
249,Kalmunai,LK,81.9,clear sky,7.4167,81.8167,VS Villa
250,Sao Joao Da Barra,BR,74.21,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
251,Hasaki,JP,63.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
252,Hervey Bay,AU,84.2,clear sky,-25.2986,152.8535,Shelly Bay Resort
255,Ketchikan,US,37.4,heavy intensity rain,55.3422,-131.6461,Snows Cove Lodge
257,Qaanaaq,GL,8.98,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
258,Tomatlan,MX,67.15,clear sky,19.9333,-105.25,Norma franco
259,Saldanha,ZA,59.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
260,Neepawa,CA,46.4,broken clouds,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
261,Peddapalli,IN,87.62,broken clouds,18.6167,79.3667,THE PEDDAPALLI ROCKS/VLOGS/EXTRAS & AF PRODUCTIONS
